;name;position;age;market_value;country_from;league_from;club_from;country_to;league_to;club_to;fee
80;Xaver Schlager;Central Midfield;24;27000000;Germany;Bundesliga;VfL Wolfsburg;Germany;Bundesliga;RB Leipzig;12000000
108;Thilo Kehrer;Centre-Back;25;22000000;France;Ligue 1;Paris Saint-Germain;England;Premier League;West Ham United;12000000
132;Nordi Mukiele;Right-Back;24;20000000;Germany;Bundesliga;RB Leipzig;France;Ligue 1;Paris Saint-Germain;12000000
200;Danny Ings;Centre-Forward;30;16000000;England;Premier League;Aston Villa;England;Premier League;West Ham United;12000000
221;Breel Embolo;Centre-Forward;25;15000000;Germany;Bundesliga;Borussia Mönchengladbach;Monaco;Ligue 1;AS Monaco;12000000
222;Pierre-Emerick Aubameyang;Centre-Forward;33;15000000;Spain;LaLiga;FC Barcelona;England;Premier League;Chelsea FC;12000000
248;Marcão;Centre-Back;26;14000000;Turkey;Süper Lig;Galatasaray;Spain;LaLiga;Sevilla FC;12000000
271;Andrey Santos;Central Midfield;18;10000000;Brazil;Carioca - Taça Guanabara;Clube de Regatas Vasco da Gama;England;Premier League;Chelsea FC;12000000
272;Roméo Lavia;Defensive Midfield;18;2000000;England;Premier League 2;Manchester City U21;England;Premier League;Southampton FC;12000000
273;Fernando Gorriarán;Central Midfield;28;9000000;Mexico;Liga MX Clausura;Santos Laguna;Mexico;Liga MX Clausura;Tigres UANL;12000000
274;Pau López;Goalkeeper;27;12000000;Italy;Serie A;AS Roma;France;Ligue 1;Olympique Marseille;12000000
275;Marc Roca;Defensive Midfield;25;7000000;Germany;Bundesliga;Bayern Munich;England;Premier League;Leeds United;12000000
276;Agustín Álvarez;Centre-Forward;21;4000000;Uruguay;Primera División Clausura;CA Peñarol;Italy;Serie A;US Sassuolo;12000000
277;Chris Richards;Centre-Back;22;7000000;Germany;Bundesliga;Bayern Munich;England;Premier League;Crystal Palace;12000000
278;Alexis Beka Beka;Defensive Midfield;21;3000000;Russia;Premier Liga;Lokomotiv Moscow;France;Ligue 1;OGC Nice;12000000
279;Stanley Nsoki;Centre-Back;23;7000000;Belgium;Jupiler Pro League;Club Brugge KV;Germany;Bundesliga;TSG 1899 Hoffenheim;12000000
280;David Datro Fofana;Centre-Forward;20;7000000;Norway;Eliteserien;Molde FK;England;Premier League;Chelsea FC;12000000
281;Maximilian Wöber;Centre-Back;24;12000000;Austria;Bundesliga;Red Bull Salzburg;England;Premier League;Leeds United;12000000
282;Naouirou Ahamada;Central Midfield;20;5000000;Germany;Bundesliga;VfB Stuttgart;England;Premier League;Crystal Palace;12000000
586;Jörgen Strand Larsen;Centre-Forward;22;6000000;Netherlands;Eredivisie;FC Groningen;Spain;LaLiga;Celta de Vigo;12000000
102;Filip Kostić;Left Midfield;29;24000000;Germany;Bundesliga;Eintracht Frankfurt;Italy;Serie A;Juventus FC;13000000
130;Álex Moreno;Left-Back;29;20000000;Spain;LaLiga;Real Betis Balompié;England;Premier League;Aston Villa;13000000
131;Adam Hlozek;Centre-Forward;19;20000000;Czech Republic;Fortuna Liga;AC Sparta Prague;Germany;Bundesliga;Bayer 04 Leverkusen;13000000
219;Orel Mangala;Central Midfield;24;15000000;Germany;Bundesliga;VfB Stuttgart;England;Premier League;Nottingham Forest;13000000
220;Rasmus Kristensen;Right-Back;24;15000000;Austria;Bundesliga;Red Bull Salzburg;England;Premier League;Leeds United;13000000
256;Carlos Alcaraz;Central Midfield;20;8000000;Argentina;Liga Profesional;Racing Club;England;Premier League;Southampton FC;13000000
258;Sékou Mara;Centre-Forward;19;3000000;France;Ligue 2;FC Girondins Bordeaux;England;Premier League;Southampton FC;13000000
259;Sergio Gómez;Left-Back;21;10000000;Belgium;Jupiler Pro League;RSC Anderlecht;England;Premier League;Manchester City;13000000
260;Fredrik Aursnes;Defensive Midfield;26;12000000;Netherlands;Eredivisie;Feyenoord Rotterdam;Portugal;Liga Portugal;SL Benfica;13000000
261;Lucas Gourna-Douath;Defensive Midfield;18;10000000;France;Ligue 2;AS Saint-Étienne;Austria;Bundesliga;Red Bull Salzburg;13000000
262;Mattia Viti;Centre-Back;20;7000000;Italy;Serie A;FC Empoli;France;Ligue 1;OGC Nice;13000000
129;Dodô;Right-Back;23;20000000;Ukraine;Premier Liga;Shakhtar Donetsk;Italy;Serie A;ACF Fiorentina;14000000
159;Brais Méndez;Attacking Midfield;25;18000000;Spain;LaLiga;Celta de Vigo;Spain;LaLiga;Real Sociedad;14000000
218;Éverton;Left Winger;26;15000000;Portugal;Liga Portugal;SL Benfica;Brazil;Série A;CR Flamengo;14000000
241;Emmanuel Dennis;Centre-Forward;24;14000000;England;Championship;Watford FC;England;Premier League;Nottingham Forest;14000000
242;Djed Spence;Right-Back;21;8000000;England;Championship;Middlesbrough FC;England;Premier League;Tottenham Hotspur;14000000
245;Victor Kristiansen;Left-Back;20;4000000;Denmark;Superligaen;FC Copenhagen;England;Premier League;Leicester City;14000000
246;Mohamed Bayo;Centre-Forward;24;12000000;France;Ligue 1;Clermont Foot 63;France;Ligue 1;LOSC Lille;14000000
247;Gavin Bazunu;Goalkeeper;20;5000000;England;Premier League 2;Manchester City U21;England;Premier League;Southampton FC;14000000
70;Nicolò Zaniolo;Attacking Midfield;23;30000000;Italy;Serie A;AS Roma;Turkey;Süper Lig;Galatasaray;15000000
75;Renato Sanches;Central Midfield;24;28000000;France;Ligue 1;LOSC Lille;France;Ligue 1;Paris Saint-Germain;15000000
76;Leander Dendoncker;Defensive Midfield;27;28000000;England;Premier League;Wolverhampton Wanderers;England;Premier League;Aston Villa;15000000
79;Mohamed Camara;Defensive Midfield;22;27000000;Austria;Bundesliga;Red Bull Salzburg;Monaco;Ligue 1;AS Monaco;15000000
128;David Neres;Right Winger;25;20000000;Ukraine;Premier Liga;Shakhtar Donetsk;Portugal;Liga Portugal;SL Benfica;15000000
157;Gerson;Central Midfield;25;18000000;France;Ligue 1;Olympique Marseille;Brazil;Carioca - Taça Guanabara;CR Flamengo;15000000
158;Gaëtan Laborde;Centre-Forward;28;18000000;France;Ligue 1;Stade Rennais FC;France;Ligue 1;OGC Nice;15000000
182;Tyrell Malacia;Left-Back;22;17000000;Netherlands;Eredivisie;Feyenoord Rotterdam;England;Premier League;Manchester United;15000000
183;Marcos Senesi;Centre-Back;25;17000000;Netherlands;Eredivisie;Feyenoord Rotterdam;England;Premier League;AFC Bournemouth;15000000
215;Takumi Minamino;Left Winger;27;12000000;England;Premier League;Liverpool FC;Monaco;Ligue 1;AS Monaco;15000000
216;Mikkel Damsgaard;Left Winger;22;15000000;Italy;Serie A;UC Sampdoria;England;Premier League;Brentford FC;15000000
217;Cesare Casadei;Central Midfield;19;1000000;Italy;Primavera 1;Inter Milan Primavera;England;Premier League 2;Chelsea FC U21;15000000
244;Emerson;Left-Back;28;14000000;England;Premier League;Chelsea FC;England;Premier League;West Ham United;15000000
69;Frank Anguissa;Central Midfield;26;30000000;England;Premier League;Fulham FC;Italy;Serie A;SSC Napoli;16000000
156;Aaron Hickey;Left-Back;20;18000000;Italy;Serie A;Bologna FC 1909;England;Premier League;Brentford FC;16000000
194;Hee-chan Hwang;Centre-Forward;26;16000000;Germany;Bundesliga;RB Leipzig;England;Premier League;Wolverhampton Wanderers;16000000
195;Jhon Durán;Centre-Forward;19;6000000;United States;MLS;Chicago Fire FC;England;Premier League;Aston Villa;16000000
196;Mathías Olivera;Left-Back;24;15000000;Spain;LaLiga;Getafe CF;Italy;Serie A;SSC Napoli;16000000
197;Brian Brobbey;Centre-Forward;20;9000000;Germany;Bundesliga;RB Leipzig;Netherlands;Eredivisie;Ajax Amsterdam;16000000
199;Tanguy Nianzou;Centre-Back;20;9000000;Germany;Bundesliga;Bayern Munich;Spain;LaLiga;Sevilla FC;16000000
68;Manuel Akanji;Centre-Back;27;30000000;Germany;Bundesliga;Borussia Dortmund;England;Premier League;Manchester City;17000000
127;Pervis Estupiñán;Left-Back;24;20000000;Spain;LaLiga;Villarreal CF;England;Premier League;Brighton & Hove Albion;17000000
155;Dwight McNeil;Left Winger;22;18000000;England;Championship;Burnley FC;England;Premier League;Everton FC;17000000
177;Issa Diop;Centre-Back;25;10000000;England;Premier League;West Ham United;England;Premier League;Fulham FC;17000000
178;Matt Targett;Left-Back;26;17000000;England;Premier League;Aston Villa;England;Premier League;Newcastle United;17000000
179;Harry Souttar;Centre-Back;24;6000000;England;Championship;Stoke City;England;Premier League;Leicester City;17000000
180;Wout Faes;Centre-Back;24;10000000;France;Ligue 1;Stade Reims;England;Premier League;Leicester City;17000000
181;Tyler Adams;Defensive Midfield;23;17000000;Germany;Bundesliga;RB Leipzig;England;Premier League;Leeds United;17000000
214;Roman Yaremchuk;Centre-Forward;26;15000000;Portugal;Liga Portugal;SL Benfica;Belgium;Jupiler Pro League;Club Brugge KV;17000000
830;Rasmus Højlund;Centre-Forward;19;4000000;Austria;Bundesliga;SK Sturm Graz;Italy;Serie A;Atalanta BC;17000000
25;Carlos Soler;Central Midfield;25;50000000;Spain;LaLiga;Valencia CF;France;Ligue 1;Paris Saint-Germain;18000000
54;Ryan Gravenberch;Central Midfield;20;35000000;Netherlands;Eredivisie;Ajax Amsterdam;Germany;Bundesliga;Bayern Munich;18000000
89;Sasa Kalajdzic;Centre-Forward;25;25000000;Germany;Bundesliga;VfB Stuttgart;England;Premier League;Wolverhampton Wanderers;18000000
150;João Gomes;Central Midfield;21;15000000;Brazil;Carioca - Taça Guanabara;CR Flamengo;England;Premier League;Wolverhampton Wanderers;18000000
151;Min-jae Kim;Centre-Back;25;14000000;Turkey;Süper Lig;Fenerbahce;Italy;Serie A;SSC Napoli;18000000
152;Carney Chukwuemeka;Central Midfield;18;6000000;England;Premier League;Aston Villa;England;Premier League;Chelsea FC;18000000
153;Destiny Udogie;Left-Back;19;17000000;Italy;Serie A;Udinese Calcio;England;Premier League;Tottenham Hotspur;18000000
154;Paul Onuachu;Centre-Forward;28;15000000;Belgium;Jupiler Pro League;KRC Genk;England;Premier League;Southampton FC;18000000
147;Hassane Kamara;Left-Back;28;4000000;England;Championship;Watford FC;Italy;Serie A;Udinese Calcio;19000000
148;Arthur Theate;Centre-Back;22;15000000;Italy;Serie A;Bologna FC 1909;France;Ligue 1;Stade Rennais FC;19000000
149;Keane Lewis-Potter;Left Winger;21;12000000;England;Championship;Hull City;England;Premier League;Brentford FC;19000000
53;Timo Werner;Centre-Forward;26;35000000;England;Premier League;Chelsea FC;Germany;Bundesliga;RB Leipzig;20000000
60;Nico Schlotterbeck;Centre-Back;22;33000000;Germany;Bundesliga;SC Freiburg;Germany;Bundesliga;Borussia Dortmund;20000000
87;João Palhinha;Defensive Midfield;26;25000000;Portugal;Liga Portugal;Sporting CP;England;Premier League;Fulham FC;20000000
88;Danilo;Defensive Midfield;21;25000000;Brazil;Paulistão A1 - Primeira fase;Sociedade Esportiva Palmeiras;England;Premier League;Nottingham Forest;20000000
118;Maxwel Cornet;Left Winger;25;15000000;England;Championship;Burnley FC;England;Premier League;West Ham United;20000000
119;Taiwo Awoniyi;Centre-Forward;24;20000000;Germany;Bundesliga;1.FC Union Berlin;England;Premier League;Nottingham Forest;20000000
120;Neco Williams;Right-Back;21;8000000;England;Premier League;Liverpool FC;England;Premier League;Nottingham Forest;20000000
121;Philippe Coutinho;Left Winger;30;20000000;Spain;LaLiga;FC Barcelona;England;Premier League;Aston Villa;20000000
122;Mathys Tel;Centre-Forward;17;2000000;France;Ligue 1;Stade Rennais FC;Germany;Bundesliga;Bayern Munich;20000000
123;Nahuel Molina;Right-Back;24;20000000;Italy;Serie A;Udinese Calcio;Spain;LaLiga;Atlético de Madrid;20000000
124;Arnaud Kalimuendo;Centre-Forward;20;18000000;France;Ligue 1;Paris Saint-Germain;France;Ligue 1;Stade Rennais FC;20000000
125;David Carmo;Centre-Back;22;15000000;Portugal;Liga Portugal;SC Braga;Portugal;Liga Portugal;FC Porto;20000000
126;Umar Sadiq;Centre-Forward;25;18000000;Spain;LaLiga;UD Almería;Spain;LaLiga;Real Sociedad;20000000
86;Merih Demiral;Centre-Back;24;25000000;Italy;Serie A;Juventus FC;Italy;Serie A;Atalanta BC;21000000
257;Éderson;Central Midfield;22;13000000;Italy;Serie A;US Salernitana 1919;Italy;Serie A;Atalanta BC;21000000
105;Ilya Zabarnyi;Centre-Back;20;15000000;Ukraine;Premier Liga;Dynamo Kyiv;England;Premier League;AFC Bournemouth;22000000
106;Sofiane Diop;Left Winger;22;20000000;Monaco;Ligue 1;AS Monaco;France;Ligue 1;OGC Nice;22000000
107;Jérémie Boga;Left Winger;25;19000000;Italy;Serie A;US Sassuolo;Italy;Serie A;Atalanta BC;22000000
213;Cheick Doucouré;Defensive Midfield;22;15000000;France;Ligue 1;RC Lens;England;Premier League;Crystal Palace;22000000
337;Dango Ouattara;Right Winger;20;10000000;France;Ligue 1;FC Lorient;England;Premier League;AFC Bournemouth;22000000
21;Fabián Ruiz;Central Midfield;26;55000000;Italy;Serie A;SSC Napoli;France;Ligue 1;Paris Saint-Germain;23000000
103;Joaquín Correa;Second Striker;27;23000000;Italy;Serie A;SS Lazio;Italy;Serie A;Inter Milan;23000000
104;Calvin Bassey;Centre-Back;22;10000000;Scotland;Premiership;Rangers FC;Netherlands;Eredivisie;Ajax Amsterdam;23000000
67;Leandro Trossard;Left Winger;28;30000000;England;Premier League;Brighton & Hove Albion;England;Premier League;Arsenal FC;24000000
101;Nathan Collins;Centre-Back;21;10000000;England;Championship;Burnley FC;England;Premier League;Wolverhampton Wanderers;24000000
83;Luis Sinisterra;Left Winger;23;25000000;Netherlands;Eredivisie;Feyenoord Rotterdam;England;Premier League;Leeds United;25000000
84;Jakub Kiwior;Centre-Back;22;8000000;Italy;Serie A;Spezia Calcio;England;Premier League;Arsenal FC;25000000
85;Kamaldeen Sulemana;Left Winger;20;18000000;France;Ligue 1;Stade Rennais FC;England;Premier League;Southampton FC;25000000
82;David Raum;Left-Back;24;20000000;Germany;Bundesliga;TSG 1899 Hoffenheim;Germany;Bundesliga;RB Leipzig;26000000
34;Amine Gouiri;Centre-Forward;22;42000000;France;Ligue 1;OGC Nice;France;Ligue 1;Stade Rennais FC;28000000
198;Georginio Rutter;Centre-Forward;20;16000000;Germany;Bundesliga;TSG 1899 Hoffenheim;England;Premier League;Leeds United;28000000
52;Yves Bissouma;Central Midfield;25;35000000;England;Premier League;Brighton & Hove Albion;England;Premier League;Tottenham Hotspur;29000000
74;Morgan Gibbs-White;Attacking Midfield;22;11000000;England;Premier League;Wolverhampton Wanderers;England;Premier League;Nottingham Forest;29000000
51;Karim Adeyemi;Left Winger;20;35000000;Austria;Bundesliga;Red Bull Salzburg;Germany;Bundesliga;Borussia Dortmund;30000000
66;Malo Gusto;Right-Back;19;15000000;France;Ligue 1;Olympique Lyon;England;Premier League;Chelsea FC;30000000
40;Diego Carlos;Centre-Back;29;40000000;Spain;LaLiga;Sevilla FC;England;Premier League;Aston Villa;31000000
50;Sébastien Haller;Centre-Forward;28;35000000;Netherlands;Eredivisie;Ajax Amsterdam;Germany;Bundesliga;Borussia Dortmund;31000000
65;Steven Bergwijn;Left Winger;24;18000000;England;Premier League;Tottenham Hotspur;Netherlands;Eredivisie;Ajax Amsterdam;31000000
10;Sadio Mané;Left Winger;30;70000000;England;Premier League;Liverpool FC;Germany;Bundesliga;Bayern Munich;32000000
39;Gonçalo Guedes;Second Striker;25;40000000;Spain;LaLiga;Valencia CF;England;Premier League;Wolverhampton Wanderers;32000000
61;Brenden Aaronson;Attacking Midfield;21;25000000;Austria;Bundesliga;Red Bull Salzburg;England;Premier League;Leeds United;32000000
62;Vitinha;Centre-Forward;22;15000000;Portugal;Liga Portugal;SC Braga;France;Ligue 1;Olympique Marseille;32000000
63;Charles De Ketelaere;Attacking Midfield;21;30000000;Belgium;Jupiler Pro League;Club Brugge KV;Italy;Serie A;AC Milan;32000000
45;Nayef Aguerd;Centre-Back;26;12000000;France;Ligue 1;Stade Rennais FC;England;Premier League;West Ham United;35000000
46;Oleksandr Zinchenko;Left-Back;25;25000000;England;Premier League;Manchester City;England;Premier League;Arsenal FC;35000000
47;Noni Madueke;Right Winger;20;15000000;Netherlands;Eredivisie;PSV Eindhoven;England;Premier League;Chelsea FC;35000000
48;Fábio Vieira;Attacking Midfield;22;25000000;Portugal;Liga Portugal;FC Porto;England;Premier League;Arsenal FC;35000000
49;Amadou Onana;Defensive Midfield;20;10000000;France;Ligue 1;LOSC Lille;England;Premier League;Everton FC;35000000
44;Gianluca Scamacca;Centre-Forward;23;30000000;Italy;Serie A;US Sassuolo;England;Premier League;West Ham United;36000000
43;Sven Botman;Centre-Back;22;30000000;France;Ligue 1;LOSC Lille;England;Premier League;Newcastle United;37000000
37;Benoît Badiashile;Centre-Back;21;40000000;Monaco;Ligue 1;AS Monaco;England;Premier League;Chelsea FC;38000000
38;Nuno Mendes;Left-Back;20;40000000;Portugal;Liga Portugal;Sporting CP;France;Ligue 1;Paris Saint-Germain;38000000
42;Kalidou Koulibaly;Centre-Back;31;35000000;Italy;Serie A;SSC Napoli;England;Premier League;Chelsea FC;38000000
35;Vitinha;Central Midfield;22;30000000;Portugal;Liga Portugal;FC Porto;France;Ligue 1;Paris Saint-Germain;41000000
36;Bremer;Centre-Back;25;35000000;Italy;Serie A;Torino FC;Italy;Serie A;Juventus FC;41000000
14;Federico Chiesa;Left Winger;24;65000000;Italy;Serie A;ACF Fiorentina;Italy;Serie A;Juventus FC;42000000
16;Cody Gakpo;Left Winger;23;60000000;Netherlands;Eredivisie;PSV Eindhoven;England;Premier League;Liverpool FC;42000000
33;Lucas Paquetá;Attacking Midfield;25;35000000;France;Ligue 1;Olympique Lyon;England;Premier League;West Ham United;42000000
32;Enzo Fernández;Central Midfield;21;15000000;Argentina;Liga Profesional;CA River Plate;Portugal;Liga Portugal;SL Benfica;44000000
28;Anthony Gordon;Left Winger;21;40000000;England;Premier League;Everton FC;England;Premier League;Newcastle United;45000000
29;Robert Lewandowski;Centre-Forward;33;45000000;Germany;Bundesliga;Bayern Munich;Spain;LaLiga;FC Barcelona;45000000
30;Matheus Nunes;Central Midfield;23;35000000;Portugal;Liga Portugal;Sporting CP;England;Premier League;Wolverhampton Wanderers;45000000
24;Kalvin Phillips;Defensive Midfield;26;50000000;England;Premier League;Leeds United;England;Premier League;Manchester City;49000000
15;Jules Kounde;Centre-Back;23;60000000;Spain;LaLiga;Sevilla FC;Spain;LaLiga;FC Barcelona;50000000
23;Cristian Romero;Centre-Back;24;48000000;Italy;Serie A;Atalanta BC;England;Premier League;Tottenham Hotspur;50000000
22;Gabriel Jesus;Centre-Forward;25;50000000;England;Premier League;Manchester City;England;Premier League;Arsenal FC;52000000
9;Raheem Sterling;Left Winger;27;70000000;England;Premier League;Manchester City;England;Premier League;Chelsea FC;56000000
19;Lisandro Martínez;Centre-Back;24;32000000;Netherlands;Eredivisie;Ajax Amsterdam;England;Premier League;Manchester United;57000000
17;Richarlison;Centre-Forward;25;48000000;England;Premier League;Everton FC;England;Premier League;Tottenham Hotspur;58000000
18;Raphinha;Right Winger;25;45000000;England;Premier League;Leeds United;Spain;LaLiga;FC Barcelona;58000000
0;Erling Haaland;Centre-Forward;21;150000000;Germany;Bundesliga;Borussia Dortmund;England;Premier League;Manchester City;60000000
13;Marc Cucurella;Left-Back;24;28000000;England;Premier League;Brighton & Hove Albion;England;Premier League;Chelsea FC;65000000
8;Matthijs de Ligt;Centre-Back;22;70000000;Italy;Serie A;Juventus FC;Germany;Bundesliga;Bayern Munich;67000000
5;Casemiro;Defensive Midfield;30;40000000;Spain;LaLiga;Real Madrid;England;Premier League;Manchester United;70000000
6;Mykhaylo Mudryk;Left Winger;22;40000000;Ukraine;Premier Liga;Shakhtar Donetsk;England;Premier League;Chelsea FC;70000000
7;Alexander Isak;Centre-Forward;22;30000000;Spain;LaLiga;Real Sociedad;England;Premier League;Newcastle United;70000000
3;Wesley Fofana;Centre-Back;21;40000000;England;Premier League;Leicester City;England;Premier League;Chelsea FC;80000000
4;Aurélien Tchouameni;Defensive Midfield;22;60000000;Monaco;Ligue 1;AS Monaco;Spain;LaLiga;Real Madrid;80000000
20;Darwin Núñez;Centre-Forward;23;55000000;Portugal;Liga Portugal;SL Benfica;England;Premier League;Liverpool FC;80000000
2;Antony;Right Winger;22;35000000;Netherlands;Eredivisie;Ajax Amsterdam;England;Premier League;Manchester United;95000000
1;Enzo Fernández;Central Midfield;22;55000000;Portugal;Liga Portugal;SL Benfica;England;Premier League;Chelsea FC;121000000
434;Freddie Woodman;Goalkeeper;25;9000000;England;Premier League;Newcastle United;England;Championship;Preston North End;0
473;Todd Cantwell;Left Midfield;24;8000000;England;Championship;Norwich City;Scotland;Premiership;Rangers FC;0
555;Jonjo Shelvey;Central Midfield;30;7000000;England;Premier League;Newcastle United;England;Premier League;Nottingham Forest;0
584;Víctor Guzmán;Attacking Midfield;27;6000000;Mexico;Liga MX Clausura;CF Pachuca;Mexico;Liga MX Clausura;Deportivo Guadalajara;0
642;Nehuén Pérez;Centre-Back;22;6000000;Spain;LaLiga;Atlético de Madrid;Italy;Serie A;Udinese Calcio;0
655;Callum Robinson;Centre-Forward;27;6000000;England;Championship;West Bromwich Albion;Wales;Championship;Cardiff City;0
819;Santiago Rodríguez;Attacking Midfield;23;5000000;Uruguay;Primera División Apertura;Montevideo City Torque;United States;MLS;New York City FC;0
871;Konstantinos Manolas;Centre-Back;31;4000000;Greece;Super League 1;Olympiacos Piraeus;United Arab Emirates;UAE Pro League;Sharjah FC;0
877;David Okereke;Centre-Forward;24;4000000;Belgium;Jupiler Pro League;Club Brugge KV;Italy;Serie A;US Cremonese;0
880;Israel Reyes;Centre-Back;22;4000000;Mexico;Liga MX Clausura;Puebla FC;Mexico;Liga MX Clausura;CF América;0
968;Yann Karamoh;Left Winger;24;4000000;Italy;Serie B;Parma Calcio 1913;Italy;Serie A;Torino FC;0
982;Andy Pelmard;Centre-Back;22;4000000;France;Ligue 1;OGC Nice;Switzerland;Super League;FC Basel 1893;0
983;Dan Ndoye;Right Winger;21;4000000;France;Ligue 1;OGC Nice;Switzerland;Super League;FC Basel 1893;0
998;Patryk Klimala;Centre-Forward;24;4000000;United States;MLS;New York Red Bulls;Israel;Ligat ha'Al;Hapoel Beer Sheva;0
1037;Luis Abram;Centre-Back;26;4000000;Spain;LaLiga2;Granada CF;United States;MLS;Atlanta United FC;0
1106;Gabriel Charpentier;Centre-Forward;23;3000000;Italy;Serie B;Genoa CFC;Italy;Serie B;Parma Calcio 1913;0
1112;Jack Clarke;Left Winger;21;3000000;England;Premier League;Tottenham Hotspur;England;Championship;Sunderland AFC;0
1139;Patrick Cutrone;Centre-Forward;24;3000000;England;Premier League;Wolverhampton Wanderers;Italy;Serie B;Como 1907;0
1166;Marcel Ruiz;Central Midfield;21;3000000;Mexico;Liga MX Clausura;Club Tijuana;Mexico;Liga MX Clausura;Deportivo Toluca;0
